도서명,부제목,출간일,분야,정가,평점,쪽수,eBook 여부,제목 길이,순위,베스트셀러 여부
아흔일곱 번의 봄 여름 가을 겨울(양장본 HardCover),,20180807,시/에세이,13000,9.4,224,1,18,143,1
스킵 비트!. 42,화려한 Show Biz 챌린지,20180825,만화,5000,9.2,184,1,10,144,1
해커스 OPIc 오픽 Advanced 공략(2주 만에 끝내는)(개정판 2판),IH/AL 등급을 위한 필수 학습서,20191202,외국어,15900,9,321,0,23,145,1
해커스 토익 중급 리딩(Hackers TOEIC Reading)(신토익 Edition)(개정판 3판),온라인 신토익 실전모의고사 제공 | 4주 만에 토익 750점 공략!,20191220,외국어,14900,9.6,504,0,12,146,1
총 균 쇠,무기 병균 금속은 인류의 운명을 어떻게 바꿨는가,20051219,역사/문화,28000,9.1,751,0,5,147,1
나의 한국현대사,"1959-2014, 55년의 기록",20140710,역사/문화,18000,9,420,1,8,148,1
한 권으로 정리하는 4차 산업혁명,,20180511,경제/경영,16800,8.5,367,1,18,149,1
스물아홉 생일 1년 후 죽기로 결심했다,제1회 일본감동대상 대상 수상작,20120720,시/에세이,12800,9.2,235,0,21,150,1
순애몽(샌드박스노블)(양장본 HardCover),,20180825,어린이(초등),11000,9.4,156,0,3,151,1
파워풀,넷플릭스 성장의 비결,20180801,경제/경영,15000,8.3,252,1,3,152,1
완벽하지 않은 것들에 대한 사랑,온전한 나를 위한 혜민 스님의 따뜻한 응원,20160203,시/에세이,14800,9.5,296,1,17,153,1
해커스 토익 700+ LC+RC(한 권으로 끝내는),신토익 출제유형 100% 반영,20191227,외국어,19500,9.4,596,0,17,154,1
해커스 보카(Hackers Vocabulary)(개정판 2판),토플/IELTS/텝스/공무원/SAT/특목고,20150701,외국어,16900,9.3,366,0,6,155,1
스케일(양장본 HardCover),생물 도시 기업의 성장과 죽음에 관한 보편 법칙,20180730,과학,30000,8.6,664,1,3,156,1
유병재 농담집 블랙코미디,,20171030,시/에세이,13000,8.9,200,1,13,157,1
해커스 토익스피킹(토스) Start(2주 만에 끝내는)(개정판 4판),스피킹 초보를 위한 필수 학습서,20200106,외국어,19800,9.4,552,0,9,158,1
데이터 분석의 힘,그 많은 숫자들은 어떻게 전략이 되는가,20180831,경제/경영,14800,9.2,244,1,9,159,1
세상에서 가장 짧은 세계사,"2,000년 유럽의 모든 역사를 이해하기 위한 최소한의 지식",20171107,역사/문화,16000,8.9,296,1,14,160,1
우리가 함께 걷는 시간(겨울 에디션)(하루 중 제일 달콤한),,20180810,시/에세이,13000,9.2,200,0,12,161,1
국가란 무엇인가(개정신판),,20170123,인문,15000,9.4,334,1,8,162,1
있으려나 서점(여름 스페셜 에디션)(양장본 HardCover),,20190604,시/에세이,12800,9.6,104,0,7,163,1
헬로카봇 백악기 시대,극장판 애니메이션북,20180816,어린이(초등),10000,10,176,0,11,164,1
마음밭에 서서(마인드북 시리즈 4),행복의 씨앗들을 마음에서 찾다,20180719,자기계발,14000,9.5,232,1,7,165,1
정의란 무엇인가(마이클 샌델),"한국 200만 부 돌파, 37개국에서 출간된 세계적 베스트셀러",20141120,인문,15000,9.4,443,0,8,166,1
해커스 토익 스타트 리스닝(Hackers TOEIC Start Listening)(신토익 Edition),"온라인 신토익 모의고사, 받아쓰기&쉐도잉 프로그램",20190130,외국어,14900,9.4,584,0,14,167,1
"김영철, 타일러의 진짜 미국식 영어(한 마디를 해도 통하는)",,20171208,외국어,14800,9.3,328,1,19,168,1
황교안의 답,"황교안, 청년을 만나다",20180824,정치/사회,10000,6.8,165,1,6,169,1
해커스 토익스피킹(토스) Level. 7 8(2주 만에 끝내는)(개정판 3판),토스 정기 시험과 동일한 출제유형 반영,20190731,외국어,19800,9.7,472,0,9,170,1
파리의 아파트,,20171205,소설,14500,9.1,408,1,7,171,1
지금 하지 않으면 언제 하겠는가,세계 최고 멘토들의 인생 수업,20180423,자기계발,15000,8.6,334,1,17,172,1
우울할 땐 뇌과학,최신 뇌과학과 신경생물학은 우울증을 어떻게 해결하는가,20180312,인문,17000,9.3,336,1,9,173,1
21세기 미국의 패권과 지정학,다가오는 무질서의 세계에서 어떤 국가가 살아남을 것인가,20180730,정치/사회,18000,9.5,496,0,16,174,1
완벽한 공부법,모든 공부의 최고의 지침서,20170106,자기계발,19800,9,516,1,7,175,1
월가의 영웅(전설로 떠나는)(개정판 2판)(양장본 HardCover),주식투자에서 상식으로 성공하는 법,20170417,경제/경영,23000,9.7,488,1,6,176,1
최강의 식사,인생을 바꾸는 실리콘밸리식 완전무결 2주 다이어트,20170616,건강,17000,9.1,368,1,6,177,1
어떻게 능력을 보여줄 것인가,당신의 가치를 빛나게 할 능력 어필의 기술,20180907,자기계발,15000,8.9,272,1,15,178,1
인생은 수리가 됩니다,반품은 안 되지만,20180817,자기계발,15800,9.2,336,1,11,179,1
된다! 김메주의 유튜브 영상 만들기,예능 자막부터 비밀스러운 광고 수익까지!,20180226,컴퓨터/IT,16000,9,368,0,19,180,1
내성적인 여행자,삶을 사랑하는 자의 은밀한 여행법,20180810,시/에세이,16800,9.1,392,1,8,181,1
빨강머리 앤이 하는 말,아직 너무 늦지 않았을 우리에게,20160715,시/에세이,16000,9.3,336,1,12,182,1
참 소중한 너라서(있는 그대로),지금도 충분히 아름다운 당신에게,,,,9.1,0,0,9,183,1
"근데, 영화 한 편 씹어먹어 봤니",학력도 스펙도 나이도 필요없는 신왕국의 코어소리영어,20170929,자기계발,14000,9.3,268,1,18,184,1
내일은 발명왕. 25: 수확하는 발명,본격 대결 과학발명 만화,20180823,어린이(초등),12800,9.5,192,0,20,185,1
수리부엉이는 황혼에 날아오른다,,20180801,시/에세이,14000,9.1,360,1,16,186,1
해커스 토익 중급 리스닝(Hackers TOEIC Listening)(신토익 Edition)(개정판 3판),온라인 신토익 실전모의고사 제공 | 단어암기장 수록,20191225,외국어,14900,9.6,394,0,13,187,1
이 정도만 알아도 괜찮아,고민해봐야 아무 소용없다,20180910,자기계발,14800,9.7,256,1,13,188,1
쿠키런 서바이벌 대작전. 20: 지옥 곤충 편(쿠키런 안전 상식 시리즈),안전상식 학습만화,20180820,어린이(초등),9800,9.4,164,0,25,189,1
너는 사랑을 잘못 배웠다,사랑은 원하지만 상처는 싫은 너에게,20180831,시/에세이,13500,9.6,256,1,13,190,1
이제 내가 행복해지는 마술을 할 거야,매일 당근뿐인 삶은 없어!,20180905,시/에세이,12000,9.5,146,0,20,191,1
아파트 언제 어디를 살까요,3년 만에 시세 차익 24억 벌어들인 외벌이 직장인의,20180901,경제/경영,16000,9.3,288,1,14,192,1
B급 세계사,알고 나면 꼭 써먹고 싶어지는 역사 잡학 사전,20180618,역사/문화,15800,9.4,349,1,6,193,1
퇴근길 인문학 수업: 멈춤,바쁜 걸음을 멈추고 나를 둘러싼 세계와 마주하기,20180915,인문,17000,9.3,512,1,14,194,1
시를 잊은 그대에게(리커버),공대생의 가슴을 울린 시 강의,20200316,시/에세이,15000,9.2,300,1,10,195,1
Do it! 점프 투 파이썬,,20160303,컴퓨터/IT,18800,9.5,352,0,15,196,1
유튜브 레볼루션,시간을 지배하는 압도적 플랫폼,20180806,경제/경영,18000,8.7,352,1,8,197,1
하루의 취향,카피라이터 김민철의 취향 존중 에세이,20180731,시/에세이,13500,9.2,256,1,6,198,1
쿠키런 편의점 과학 상식(쿠키런 펀펀 상식 시리즈 25),,20180825,어린이(초등),9800,9.1,176,0,13,199,1
돌이킬 수 없는 약속,,20170202,소설,15000,8.6,380,1,11,1,1
죽고 싶지만 떡볶이는 먹고 싶어,백세희 에세이,20180620,시/에세이,13800,8.6,208,1,17,2,1
골든아워. 1,"생과 사의 경계, 중증외상센터의 기록 2002~2013",20181002,시/에세이,15800,9.8,438,1,7,3,1
나는 나로 살기로 했다,,20200316,시/에세이,13800,9,288,1,12,4,1
"곰돌이 푸, 행복한 일은 매일 있어",아직 행복을 기다리는 우리에게,20180312,시/에세이,12000,9.1,160,1,19,5,1
초격차(양장본 HardCover),넘볼 수 없는 차이를 만드는 격,20180910,경제/경영,18000,9.4,336,1,3,6,1
뼈 있는 아무 말 대잔치,이왕이면 뼈 있는 아무 말을 나눠야 한다,20180913,시/에세이,15800,9.2,372,1,13,7,1
21세기를 위한 21가지 제언,더 나은 오늘은 어떻게 가능한가,20180903,인문,22000,8.9,560,1,16,8,1
언어의 온도(3주년 150만부 기념 에디션),말과 글에는 나름의 따뜻함과 차가움이 있다,20160819,시/에세이,13800,8.8,308,1,6,9,1
오늘처럼 내가 싫었던 날은 없다,무너진 자존감을 일으켜줄 글배우의 마음 수업,20180907,인문,16000,9.4,296,1,17,10,1
하루 5분 엄마의 말습관,일상의 작은 언어에서 시작되는 아이의 놀라운 기적,20180806,가정/육아,14800,9.6,304,1,13,11,1
트렌드 코리아 2019,서울대 소비트렌드 분석센터의 2019 전망,20181026,경제/경영,17000,9.2,456,1,12,12,1
82년생 김지영(오늘의 젊은 작가 13)(양장본 HardCover),조남주 장편소설,20161014,소설,13000,8.9,192,1,8,13,1
열두 발자국,생각의 모험으로 지성의 숲으로 지도 밖의 세계로 이끄는 열두 번의 강의,20180702,인문,16800,9,400,1,6,14,1
하마터면 열심히 살 뻔했다,야매 득도 에세이,20180423,시/에세이,15000,8.9,288,1,14,15,1
사피엔스,유인원에서 사이보그까지 인간 역사의 대담하고 위대한 질문,20151124,인문,22000,9.3,636,1,4,16,1
나미야 잡화점의 기적(양장본 HardCover),,20121219,소설,14800,9.3,456,1,11,17,1
모든 순간이 너였다(리커버 솜사탕 에디션),"반짝반짝 빛나던 우리의 밤을, 꿈을, 사랑을 이야기하다",20180216,시/에세이,13800,8.7,272,1,10,18,1
역사의 역사,History of Writing History,20180625,역사/문화,16000,9.2,340,1,6,19,1
설민석의 한국사 대모험. 8,"위기극복 편: 온달, 두 마리 토끼를 잡아라!",20181024,어린이(초등),10500,9.6,204,1,15,20,1
퇴근길 인문학 수업: 멈춤,바쁜 걸음을 멈추고 나를 둘러싼 세계와 마주하기,20180915,인문,17000,9.3,512,1,14,21,1
마흔이 되기 전에(양장본 HardCover),젊은 독자를 위한 세계 최고들의 인생 조언,20181015,자기계발,16800,9.3,384,1,9,22,1
"곰돌이 푸, 서두르지 않아도 괜찮아",언제나 오늘이 처음인 우리에게,20180508,시/에세이,13800,9.3,216,0,19,23,1
어떻게 살 것인가,,20130313,인문,15000,9.2,342,1,9,24,1
마법천자문. 43: 약속해라! 맺을 약,,20181010,어린이(초등),9800,9.7,159,0,21,25,1
개인주의자 선언,판사 문유석의 일상유감,20150923,인문,13500,9.1,280,1,8,26,1
무례한 사람에게 웃으며 대처하는 법,"인생자체는 긍정적으로, 개소리에는 단호하게",20180108,시/에세이,13800,8.8,264,1,19,27,1
원피스. 90: 성지 마리조아,,20181031,만화,5000,9.6,212,0,16,28,1
10년 동안 적금밖에 모르던 39세 김 과장은 어떻게 1년 만에 부동산 천재가 됐을까?,5년 만에 자산을 100배로 불린 투자고수 렘군의 단기속성 부동산 스쿨,20180915,경제/경영,16800,9.4,344,1,48,29,1
당신이 옳다(교보문고 단독 리커버)(찰스 장 아트 에디션),정혜신의 적정심리학,20181010,인문,15800,9.2,316,1,6,30,1
인생 우화(양장본 HardCover),천사의 실수로 세상의 바보들이 한 마을에 모여 살게 되었다,20180730,소설,16000,9,356,1,5,31,1
"미키 마우스, 오늘부터 멋진 인생이 시작될 거야",작은 용기가 필요한 당신에게,20180914,시/에세이,13800,9.4,212,1,26,32,1
아몬드(양장본 HardCover),손원평 장편소설,20170331,소설,12000,9.3,263,0,3,33,1
설민석의 조선왕조실록,대한민국이 선택한 역사 이야기,20160720,역사/문화,22000,9.1,504,0,11,34,1
살인의 문. 1(양장본 HardCover),,20180831,소설,14800,9.3,364,1,8,35,1
최강의 육아,0~5세까지 IQ가 높아지고 몸과 마음이 튼튼해지는 절대 원칙 55,20180607,가정/육아,15000,8.1,310,0,6,36,1
말의 품격,말과 사람과 품격에 대한 생각들,20190318,인문,14500,8.7,232,1,5,37,1
마흔에게,기시미 이치로의 다시 살아갈 용기에 대하여,20181005,자기계발,14000,9.1,256,1,4,38,1
심리학이 이렇게 쓸모 있을 줄이야,,20190325,자기계발,13000,9.2,280,1,18,39,1
식사가 잘못됐습니다,의사가 가르쳐주는 최강의 식사 교과서,20180919,건강,14500,9.3,300,1,10,40,1
말 그릇(비울수록 사람을 더 채우는),,20170922,자기계발,15000,8.9,308,1,4,41,1
매스커레이드 나이트(양장본 HardCover),히가시노 게이고 장편소설,20180830,소설,14800,9.5,556,1,10,42,1
좀비고등학교 코믹스. 9,,20181015,어린이(초등),9800,9.5,160,0,13,43,1
당신이 허락한다면 나는 이 말 하고 싶어요,"김제동과 나, 우리가 살아가는 법",20180905,시/에세이,16000,9,400,1,23,44,1
슬픔을 공부하는 슬픔,신형철 산문,20180922,시/에세이,16000,9.5,428,1,11,45,1
굿 라이프(양장본 HardCover),내 삶을 바꾸는 심리학의 지혜,20180620,자기계발,17000,8.6,284,1,5,46,1
해커스 토익 기출 보카(TOEIC VOCA),최신 기출 토익 어휘수록·영단어 30일 완성,20180810,외국어,12900,9.5,567,0,12,47,1
꽃을 보듯 너를 본다(J.H CLASSIC 2)(양장본 HardCover),나태주 시집,20150620,시/에세이,10000,9.2,184,0,11,48,1
어디서 살 것인가,우리가 살고 싶은 곳의 기준을 바꾸다,20180530,인문,16000,8.9,380,1,9,49,1
자존감 수업,하루에 하나 나를 사랑하게 되는 자존감 회복 훈련,20160901,인문,14000,9.2,304,1,6,50,1
돈을 부르는 말버릇(일본 최고의 대부호에게 배우는),인생도 수입도 극적으로 바뀌는 마법의 말하기 습관,20181002,자기계발,13500,9.2,232,1,10,51,1
Go Go 카카오프렌즈. 4: 미국,세계 역사 문화 체험 학습만화,20180927,어린이(초등),12000,9.7,176,0,19,52,1
Who? Special 손흥민(아시안 게임 금메달 기념 한정판)(양장본 HardCover),,20181015,어린이(초등),12800,9.6,180,1,16,53,1
가면산장 살인사건(양장본 HardCover),,20140926,소설,14800,9.3,336,0,9,54,1
한때 소중했던 것들(볕뉘 에디션),이기주 산문집,20180709,시/에세이,14000,9.1,244,1,10,55,1
지적 대화를 위한 넓고 얕은 지식,"역사, 경제, 정치, 사회, 윤리 편",20170117,인문,16000,9.1,376,0,18,56,1
하버드 협상 강의,하버드는 왜 협상에 주목할까?,20180910,경제/경영,15800,9.3,352,1,9,57,1
오늘은 이만 좀 쉴게요(The cat edition),,20180726,시/에세이,13000,9.3,248,0,12,58,1
거울 속 외딴 성(양장본 HardCover),,20180831,소설,16500,9.6,640,0,9,59,1
왜 나는 너를 사랑하는가(개정판)(양장본 HardCover),,20130115,소설,12000,9.1,278,1,13,60,1
퇴사준비생의 런던,여행에서 찾은 비즈니스 인사이트,20180913,경제/경영,15000,9.5,344,1,9,61,1
참을 수 없는 존재의 가벼움(양장본 HardCover),,20180620,소설,15000,9.3,520,0,15,62,1
꾸뻬 씨의 핑크색 안경,,20180928,소설,15000,9.2,336,1,12,63,1
나의 문화유산답사기: 산사 순례(반양장),,20180830,역사/문화,18000,9,400,0,17,64,1
"앨리스, 너만의 길을 그려봐",아직 세상에 참 서툰 우리에게,20180720,시/에세이,13800,9.3,216,1,15,65,1
익숙해질 때,감정의 깊이가 다른 말,20180709,시/에세이,13800,9.1,256,1,6,66,1
뇌를 읽다,내 거친 생각과 불안한 눈빛과 그걸 조종하는,20180910,인문,18000,9.1,380,1,5,67,1
해리. 1,공지영 장편소설,20180730,소설,14500,8.4,280,1,5,68,1
부의 추월차선,부자들이 말해 주지 않는 진정한 부를 얻는 방법,20130820,경제/경영,15000,8.9,392,1,7,69,1
행복해지는 연습을 해요,"덜 신경 쓰고, 더 사랑하는 법",20180620,시/에세이,14500,9.1,320,1,12,70,1
수학이 필요한 순간(양장본 HardCover),인간은 얼마나 깊게 생각할 수 있는가,20180803,과학,15800,8.6,328,1,10,71,1
"결정, 흔들리지 않고 마음먹은 대로",그들에겐 이미 습관이 되어버린 결정에 관한 실전 수업,20180808,자기계발,16000,8.7,360,0,19,72,1
내게 무해한 사람,최은영 소설,20190620,소설,13500,9.2,325,1,9,73,1
11문자 살인사건(양장본 HardCover),,20180713,소설,14800,9.1,344,1,9,74,1
참 애썼다 그것으로 되었다(10만부 판매 기념 한정판 에디션),,20191115,시/에세이,14000,9.5,396,0,14,75,1
쇼코의 미소,최은영 소설,20190620,소설,12000,9.5,296,1,6,76,1
미키는 늘 너의 이야기를 들어줄 거야(윈터에디션),오늘도 너에게 반짝이는 하루가찾아가기를,20180930,시/에세이,12800,9.5,232,0,20,77,1
호모 데우스,미래의 역사,20170519,인문,22000,9.3,630,1,6,78,1
해커스 토익 RC 리딩(Hackers TOEIC Reading)(개정판),본 교재 무료 동영상강의 제공 | 단어암기장(별책) & 단어암기 MP3 제공,20181224,외국어,18800,9.4,804,0,12,79,1
원칙(양장본 HardCover),,20180618,경제/경영,35000,8.8,712,1,2,80,1
제2차 코인 전쟁,본 게임은 이미 시작됐다. 더 거대한 파도가 덮쳐온다!,20181015,경제/경영,16000,9.8,278,1,9,81,1
고양이. 1(양장본 HardCover),베르나르 베르베르 장편소설,20180612,소설,12800,8.8,240,1,6,82,1
끌리는 사람은 매출이 다르다: 실천편,한 달 만에 수익을 30배 올렸던 특별한 노하우,20181027,경제/경영,12000,8.7,294,1,20,83,1
최고의 선택(양장본 HardCover),성공과 실패의 갈림길에서 당신을 구해줄 어느 철학자의 질문수업,20180810,경제/경영,15000,9.2,256,1,6,84,1
도시는 무엇으로 사는가,도시를 보는 열다섯 가지 인문적 시선,20150325,인문,15000,9.2,391,1,12,85,1
임신 출산 육아 대백과(2019~2020)(개정판),술술 잘 읽히는 첫아기 잘 키우는 법,20190701,가정/육아,18500,9.6,410,0,12,86,1
나는 오늘도 경제적 자유를 꿈꾼다,"3년 만에 월세 1,000만 원 만든 투자 철칙",20180719,경제/경영,16800,8.6,356,1,18,87,1
대한민국에 이런 학교가 있었어?,"인생을 바꾸는 꿈의 1년, 벤자민인성영재학교 이야기",20181022,인문,16000,9.7,268,1,17,88,1
오직 두 사람,김영하 소설,20170525,소설,13000,9.2,272,1,7,89,1
"나의 가족, 사랑하나요?(리커버 한정판)(양장본 HardCover)",,20190827,어린이(초등),13000,9.7,108,0,13,90,1
어떻게 능력을 보여줄 것인가,당신의 가치를 빛나게 할 능력 어필의 기술,20180907,자기계발,15000,8.9,272,1,15,91,1
참 잘했어요,거짓일지라도 나에게는 꼭 필요했던 말,20181013,시/에세이,15000,9.7,320,1,6,92,1
영어회화 100일의 기적,100일 후에는 나도 영어로 말한다!,20150525,외국어,13500,8.8,256,1,13,93,1
주식투자 무작정 따라하기(개정판),70만 왕초보가 감동했다! 완벽한 투자 입문서!,20170102,경제/경영,16500,8.5,400,0,13,94,1
인간 실격(세계문학전집 103),,20120410,소설,8000,9.3,192,1,5,95,1
코스모스(보급판),,20100120,과학,18500,9.2,719,1,4,96,1
부동산 상식사전,"전·월세, 내집, 상가, 토지, 경매까지 처음 만나는 부동산의 정석",20170228,경제/경영,16500,9.3,544,0,8,97,1
신경 끄기의 기술,인생에서 가장 중요한 것만 남기는 힘,20171027,자기계발,15000,8.7,236,1,9,98,1
이기적 유전자(40주년 기념판),,20181020,과학,20000,9.3,632,1,7,99,1
영어회화 10분의 기적: 패턴으로 말하기(해커스톡),미국인이 가장 많이 쓰는 표현으로 원어민처럼 말하기 | 무료 해설강의/MP3,20180629,외국어,12900,9.2,239,1,22,100,1
완벽한 공부법,모든 공부의 최고의 지침서,20170106,자기계발,19800,9,516,1,7,101,1
노르웨이의 숲(양장본 HardCover),,20170807,소설,15000,9.1,572,1,7,102,1
내일은 실험왕. 44: 로켓과 핵무기,본격 대결 과학실험 만화,20180920,어린이(초등),12800,9.5,180,0,20,103,1
만만하게 보이지 않는 대화법,함부로 무시당하지 않는 말투는 따로 있다,20180314,자기계발,13800,8.4,224,1,15,104,1
나에게 고맙다,"가장 흔한 말, 정작 나에게 하지 못한 인사",20160701,시/에세이,13800,9.3,272,1,7,105,1
인듀어,"몸에서 마음까지, 인간의 한계를 깨는 위대한 질문",20180910,인문,19800,9.3,504,1,3,106,1
앞으로 5년 미중전쟁 시나리오(양장본 HardCover),,20180622,경제/경영,25000,9.4,464,1,16,107,1
추리 천재 엉덩이 탐정. 6: 수상한 탐정 사무소 사건(양장본 HardCover),,20180530,어린이(초등),12000,8.9,88,0,30,108,1
마키아벨리 군주론,이탈리아어 완역 결정판,20141020,인문,15000,9,362,0,9,109,1
지적 대화를 위한 넓고 얕은 지식: 현실너머 편,"철학, 과학, 예술, 종교, 신비 편",20150204,인문,16000,9.4,376,0,26,110,1
말투 하나 바꿨을 뿐인데,"일,사랑,관계가 술술 풀리는 40가지 심리 기술",20170317,자기계발,13000,8.2,216,1,13,111,1
채식주의자,,20071030,소설,12000,8.7,247,0,5,112,1
총 균 쇠,무기 병균 금속은 인류의 운명을 어떻게 바꿨는가,20051219,역사/문화,28000,9.1,751,0,5,113,1
유튜브의 신,1인 크리에이터들의 롤모델,20180510,자기계발,14000,9,272,1,6,114,1
설민석의 무도 한국사 특강(개정판),인물 사건 문화유산,20190129,역사/문화,22000,9.6,433,1,14,115,1
미스터 션샤인. 1,드라마 원작소설,20180917,소설,14800,9.7,424,1,10,116,1
해커스 토익 LC 리스닝(Hackers TOEIC Listening)(개정판 7판),무료 실전문제 해설강의 | 단어암기장(별책) & 단어암기 MP3 제공,20190130,외국어,18800,9.5,626,0,13,117,1
사이다경제,어디 가서 아는 척할 수 있는 경제 지식,20181001,경제/경영,17000,8.9,404,1,5,118,1
용의자 X의 헌신(양장본 HardCover),,20170830,소설,16800,9.6,448,0,9,119,1
놓지 마 과학!. 8: 정신이 화석에 정신 놓다,놓지 마 정신줄 학습 만화,20180828,어린이(초등),9800,9.7,180,0,26,120,1
"오해하지 않는 연습, 오해받지 않을 권리",타인이라는 감옥에서 나를 지키는 힘,20180928,인문,15000,9.4,340,1,22,121,1
소년이 온다,한강 장편소설,20140519,소설,12000,9.6,216,0,6,122,1
700만이 뽑은 인생 반찬 120,요리 1위앱 <만개의 레시피>를 뜨겁게 달군 그 반찬!,20180910,요리,14000,9.5,240,0,18,123,1
유시민의 글쓰기 특강,,20150410,인문,15000,9.5,292,1,11,124,1
부자 아빠 가난한 아빠. 1(20주년 특별 기념판)(개정증보판),,20180222,경제/경영,15800,9.1,448,1,15,125,1
"나, 있는 그대로 참 좋다(몽글몽글 에디션)",자신이 얼마나 아름다운지 모르는 나에게 필요한 마음 주문,20170922,시/에세이,13800,9,264,1,14,126,1
쿠키런 어드벤처. 29: 타이완 타이베이,쿠키들의 신나는 세계여행,20180920,어린이(초등),9800,9.1,164,0,22,127,1
당신은 사람 보는 눈이 필요하군요,나쁜 관계에서 나를 지키는 방탄 심리학,20180910,인문,14800,9.2,316,1,18,128,1
작별,2018년 제12회 김유정문학상 수상작품집,20181019,소설,12000,9.4,224,0,2,129,1
운을 부르는 부자의 말투,말과 운의 관계를 알면 인생이 바뀐다,20180813,자기계발,13800,9.3,228,1,13,130,1
썅년의 미학(양장본 HardCover),,20180817,시/에세이,14800,9.3,240,0,6,131,1
연애의 기억(양장본 HardCover),줄리언 반스 장편소설,20180830,소설,15000,9.1,384,1,6,132,1
미움받을 용기,자유롭고 행복한 삶을 위한 아들러의 가르침,20141117,인문,14900,9.2,336,1,7,133,1
착! 붙는 일본어 독학 첫걸음(CD1장포함),하루 한 시간 한 달 완성,20151015,외국어,14000,9.5,248,0,16,134,1
유튜브 컬처,유튜브는 왜 항상 이기는가?,20180907,경제/경영,15000,9.8,420,1,6,135,1
결혼은 모르겠고 돈은 모으고 싶어,혼자 벌어도 든든한 1인 가구 돈 관리의 모든 것,20180904,경제/경영,14000,9.5,252,1,18,136,1
라틴어 수업(지적이고 아름다운 삶을 위한),,20190429,인문,15000,9.2,312,1,6,137,1
기획자의 습관,,20180508,자기계발,14800,8.9,300,0,7,138,1
방구석 미술관(10만 부 기념 스페셜 에디션),오르세 미술관,20200505,예술/대중문화,16800,9.4,344,1,7,139,1
날씨가 좋으면 찾아가겠어요,이도우 장편소설,20180628,소설,13800,9.6,432,1,14,140,1
머신 플랫폼 크라우드,트리플레볼루션의 시대가 온다,20181026,경제/경영,18000,9,456,1,11,141,1
B급 세계사,알고 나면 꼭 써먹고 싶어지는 역사 잡학 사전,20180618,역사/문화,15800,9.4,349,1,6,142,1
아무것도 안 해도 아무렇지 않구나,김신회 에세이,20180903,시/에세이,13800,9.2,296,1,18,143,1
어떻게 원하는 것을 얻는가(밀리언 특별판)(개정판),20년 연속 와튼스쿨 최고 인기 강의,20171108,자기계발,16000,8.8,404,0,14,144,1
앨리스 죽이기,,20151221,소설,13500,8.9,364,1,7,145,1
몰입 영어(저절로 몸에 새겨지는),몰입의 대가 황농문 교수의 궁극의 공부법,20180829,자기계발,13800,9.2,244,1,5,146,1
운다고 달라지는 일은 아무것도 없겠지만(리커버),박준 산문,20170701,시/에세이,12000,9.1,192,1,21,147,1
시크:하다,이기적이어서 행복한 프랑스 소확행,20180820,인문,13800,9.2,216,1,5,148,1
그래머 게이트웨이 베이직: 초보를 위한 기초 영문법 (Grammar Gateway Basic Light Version)(해커스)(개정,기초영어 문법 한 달 완성,20190531,외국어,12900,9.1,210,0,29,149,1
검사내전,"생활형 검사의 사람 공부, 세상 공부",20180119,정치/사회,15000,8.5,384,1,4,150,1
어벤져스 인피니티 워 캐릭터도감,,20180420,어린이(초등),9500,9.2,92,0,17,151,1
된다! 김메주의 유튜브 영상 만들기,예능 자막부터 비밀스러운 광고 수익까지!,20180226,컴퓨터/IT,16000,9,368,0,19,152,1
완벽하지 않은 것들에 대한 사랑,온전한 나를 위한 혜민 스님의 따뜻한 응원,20160203,시/에세이,14800,9.5,296,1,17,153,1
보노보노처럼 살다니 다행이야(윈터 에디션),,20170406,시/에세이,16000,9.2,320,0,15,154,1
다쿠아즈(카페장쌤 베스트 디저트 1),폭신하고 달콤한 프랑스 디저트,20181015,요리,16000,8.8,168,0,4,155,1
해커스 토익 스타트 리딩(Hackers TOEIC Start Reading)(신토익 Edition)(3판),본 교재 무료 동영상강의 + 온라인 신토익 모의고사,20190116,외국어,14900,9.4,582,0,13,156,1
연애 잘 하고 싶은데 방법을 모르겠어,연애는 원래 이런 건가요?,20180914,자기계발,14800,9.1,240,1,20,157,1
"안녕, 우주(양장본 HardCover)",우연이라 하기엔 운명에 가까운 이야기,20180912,어린이(초등),14500,9.5,320,1,6,158,1
혼자 잘해주고 상처받지 마라,서운하고 속상한 마음을 들키지않으려고 애쓰는 당신을 위한 감정의 심리학,20161027,자기계발,15000,9.3,288,1,15,159,1
원펀맨(One Punch Man). 17,,20180930,만화,5000,9.7,208,0,3,160,1
단 하루도 너를 사랑하지 않은 날이 없다,,20180302,시/에세이,14000,8.9,256,1,22,161,1
타이탄의 도구들(리커버 에디션),,20200309,자기계발,15000,9.2,367,1,8,162,1
프레임(양장본 HardCover),나를 바꾸는 심리학의 지혜,20160831,자기계발,16000,9.4,308,1,3,163,1
딸 성교육 하는 법(움츠러들지 않고 용기있게),성교육 전문가 손경이의 딸의 인생을 바꾸는 50가지 교육법,20181001,가정/육아,15000,9.3,316,1,10,164,1
환자 혁명,약과 병원에 의존하던 건강 주권을 회복하라,20171111,건강,15000,9.2,344,1,5,165,1
나의 한국현대사,"1959-2014, 55년의 기록",20140710,역사/문화,18000,9,420,1,8,166,1
곁에 남아 있는 사람(양장본 HardCover),임경선 소설,20180905,소설,13000,9.5,248,1,11,167,1
한 권으로 정리하는 4차 산업혁명,,20180511,경제/경영,16800,8.5,367,1,18,168,1
국가란 무엇인가(개정신판),,20170123,인문,15000,9.4,334,1,8,169,1
