도서명,부제목,출간일,분야,정가,평점,쪽수,eBook 여부,제목 길이,순위,베스트셀러 여부
꿀벌과 천둥(양장본 HardCover),온다 리쿠 장편소설,20170731,소설,17800,9.4,700,1,6,57,1
완벽하지 않은 것들에 대한 사랑,온전한 나를 위한 혜민 스님의 따뜻한 응원,20160203,시/에세이,14800,9.5,296,1,17,58,1
꽃을 보듯 너를 본다(J.H CLASSIC 2)(양장본 HardCover),나태주 시집,20150620,시/에세이,10000,9.2,184,0,11,59,1
사랑의 온도,착한 스프는 전화를 받지 않는다,20170918,소설,13000,8.7,256,0,6,60,1
"멈추면, 비로소 보이는 것들(개정판)",혜민 스님과 함께하는 내 마음 다시보기,20170315,시/에세이,14800,9.4,320,0,15,61,1
해커스 신토익 리딩(Hackers TOEIC Reading),본 교재 무료 인강+무료 매월 토익 적중특강+토익정답 실시간 확인 서비스,20160321,외국어,18800,9.2,801,0,10,62,1
지적 대화를 위한 넓고 얕은 지식: 현실너머 편,"철학, 과학, 예술, 종교, 신비 편",20150204,인문,16000,9.4,376,0,26,63,1
나는 가상화폐로 3달 만에 3억 벌었다,비트코인 이더리움 채굴기 실전투자 전략서,20170722,경제/경영,17000,8.6,272,0,21,64,1
내 안에 있는 나 아닌 나(마인드북 시리즈 3)(반양장),생각과잉 시대에 생각의 실체를 파헤친 마인드북,20170706,자기계발,14000,8.8,240,0,14,65,1
위험한 비너스,히가시노 게이고 장편소설,20170630,소설,14800,9.2,488,0,7,66,1
설민석의 조선왕조실록,대한민국이 선택한 역사 이야기,20160720,역사/문화,22000,9.1,504,0,11,67,1
하늘과 바람과 별과 시(미니북)(초판본)(1955년 정음사 오리지널 표지디자인),,20170317,시/에세이,5500,9.6,192,0,12,68,1
빨강머리 앤이 하는 말,아직 너무 늦지 않았을 우리에게,20160715,시/에세이,16000,9.3,336,1,12,69,1
그릿(Grit),"IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘",20161028,자기계발,16000,8.9,416,0,2,70,1
도구와 기계의 원리 Now(양장본 HardCover),그림으로 보는 재미있는 과학 원리,20170315,어린이(초등),38000,9.2,400,0,14,71,1
유시민의 글쓰기 특강,,20150410,인문,15000,9.5,292,1,11,72,1
좀비고등학교 코믹스. 2,,20170815,어린이(초등),9800,9.1,160,0,13,73,1
교토에 다녀왔습니다,임경선 에세이,20170905,시/에세이,14800,9,272,1,10,74,1
플랫폼 레볼루션,4차 산업혁명 시대를 지배할 플랫폼 비즈니스의 모든 것,20170609,경제/경영,22000,9.6,512,1,8,75,1
5초의 법칙,당신을 시작하게 만드는 빠른 결정의 힘,20170901,자기계발,14000,9.3,328,1,6,76,1
기형도 전집,시 소설 산문 자료,19990302,시/에세이,18000,9.6,356,0,6,77,1
말투 하나 바꿨을 뿐인데,"일,사랑,관계가 술술 풀리는 40가지 심리 기술",20170317,자기계발,13000,8.2,216,1,13,78,1
임신 출산 육아 대백과(2019~2020)(개정판),술술 잘 읽히는 첫아기 잘 키우는 법,20190701,가정/육아,18500,9.6,410,0,12,79,1
퇴사준비생의 도쿄,여행에서 찾은 비즈니스 인사이트,20170712,경제/경영,15800,9,336,1,9,80,1
시간의 모서리,,20170904,시/에세이,13800,9.5,250,0,7,81,1
내 문장이 그렇게 이상한가요?,"내가 쓴 글, 내가 다듬는 법",20160124,인문,12000,9.3,204,1,16,82,1
7년의 밤,정유정 장편소설,20160530,소설,14500,9.2,523,1,5,83,1
용의자 X의 헌신(양장본 HardCover),,20170830,소설,16800,9.6,448,0,9,84,1
남한산성,김훈 장편소설,20170705,소설,16000,9.6,448,0,4,85,1
국가란 무엇인가(개정신판),,20170123,인문,15000,9.4,334,1,8,86,1
어른아이로 산다는 것,,20170831,시/에세이,13500,9.5,352,1,11,87,1
쇼코의 미소,최은영 소설,20190620,소설,12000,9.5,296,1,6,88,1
매치메이커스,"4차 산업혁명 시대, 플랫폼 전쟁의 승리자들",20170823,경제/경영,17500,9.1,344,1,6,89,1
마법천자문. 40: 고와라! 고울 선,,20170926,어린이(초등),9800,9.2,168,0,20,90,1
해커스 신토익 리스닝(Hackers TOEIC Listening),받아쓰기&쉐도잉 프로그램ㅣ단어암기장(별책) 제공,20160321,외국어,18800,9.2,629,0,11,91,1
Who? Special 이승엽(양장본 HardCover),,20170821,어린이(초등),12800,9.8,200,1,16,92,1
스물아홉 생일 1년 후 죽기로 결심했다,제1회 일본감동대상 대상 수상작,20120720,시/에세이,12800,9.2,235,0,21,93,1
왜 나는 너를 사랑하는가(개정판)(양장본 HardCover),,20130115,소설,12000,9.1,278,1,13,94,1
열혈강호. 73,,20170830,만화,4500,8.5,200,1,8,95,1
빽넘버,임선경 장편소설,20160422,소설,12000,8.8,240,1,3,96,1
오늘을 산다는 것,김혜남의 그림편지,20170825,시/에세이,13000,9,228,1,9,97,1
해커스 토익 스타트 리딩(Hackers TOEIC Start Reading)(신토익 Edition)(3판),본 교재 무료 동영상강의 + 온라인 신토익 모의고사,20190116,외국어,14900,9.4,582,0,13,98,1
데미안(세계문학전집 44),,20090120,소설,8000,9.4,240,1,3,99,1
북유럽 신화,,20170626,역사/문화,14800,8.7,312,0,6,100,1
서툰 감정,세상에 나쁜 감정은 없다. 서툰 감정만 있을 뿐,20170718,인문,13800,8.7,216,1,5,101,1
이제와서 날개라 해도(고전부 시리즈 6)(양장본 HardCover),,20170830,소설,14800,9.5,428,1,11,102,1
여덟 단어,인생을 대하는 우리의 자세,20130520,인문,15000,9.4,237,1,5,103,1
아날로그의 반격,"디지털, 그 바깥의 세계를 발견하다",20170630,경제/경영,16800,9,448,1,8,104,1
시프트(교보문고 스토리공모전),고통을 옮기는 자,20170825,소설,12800,9.4,364,1,3,105,1
"9등급 꼴찌, 1년 만에 통역사 된 비법",,20170410,자기계발,14000,8.7,280,0,22,106,1
완벽한 공부법,모든 공부의 최고의 지침서,20170106,자기계발,19800,9,516,1,7,107,1
낭만적 연애와 그 후의 일상(양장본 HardCover),알랭 드 보통 장편소설,20160825,소설,13500,9.1,300,1,15,108,1
나에게 고맙다,"가장 흔한 말, 정작 나에게 하지 못한 인사",20160701,시/에세이,13800,9.3,272,1,7,109,1
인플레이션의 시대,풀린 돈이 몰고 올 부의 재편,20170810,경제/경영,17000,9,448,1,9,110,1
아 파리(A Paris),내가 꿈꾸던 게으른 시간,20170824,여행,17000,8.8,308,0,4,111,1
오두막(100쇄 특별판)(개정판),모든 순간으로부터 자유로워지는 곳,20170508,소설,13800,9.1,448,0,3,112,1
어린왕자(초판본)(양장본 HardCover),1943년 오리지널 초판본 표지디자인,20160830,소설,9800,9.7,148,1,4,113,1
데미안(초판본)(1919년 초판본 오리지널 표지 디자인)(양장본 HardCover),,20160627,소설,9800,9.7,276,1,3,114,1
나의 한국현대사,"1959-2014, 55년의 기록",20140710,역사/문화,18000,9,420,1,8,115,1
영어책 한 권 외워봤니?,,20170111,자기계발,14000,9.1,292,0,13,116,1
총 균 쇠,무기 병균 금속은 인류의 운명을 어떻게 바꿨는가,20051219,역사/문화,28000,9.1,751,0,5,117,1
종의 기원,정유정 장편소설,20160516,소설,13000,9.1,384,0,5,118,1
너라는 위로,,20170421,시/에세이,13000,9.5,252,1,6,119,1
어쩌면 별들이 너의 슬픔을 가져갈지도 몰라(감성치유 라이팅북),김용택의 꼭 한번 필사하고 싶은 시,20150604,시/에세이,12800,9.4,280,0,23,120,1
최고들의 일머리 법칙,글로벌 엘리트들에게 혼나면서 배운 성공 일습관,20170726,자기계발,14800,9,300,1,11,121,1
조용히 이기는 사람들,나서지 않지만 강한 사람들의 태도,20170808,자기계발,13000,7.7,220,1,11,122,1
왜 종교는 과학이 되려 하는가,창조론이 과학이 될 수 없는 16가지 이유,20170908,과학,7500,8.4,336,1,16,123,1
어쩌면 내가 가장 듣고 싶었던 말,"괜찮은 척, 아무렇지 않은 척했던 순간에도",20170203,시/에세이,14000,9.3,256,0,18,124,1
스페셜솔져 코믹스. 5,,20170811,어린이(초등),9800,8.1,160,0,12,125,1
주식투자 무작정 따라하기(개정판),70만 왕초보가 감동했다! 완벽한 투자 입문서!,20170102,경제/경영,16500,8.5,400,0,13,126,1
보통의 존재(10주년 기념 특별판),이석원 산문집,20091104,시/에세이,12000,9,386,0,6,127,1
나는 나를 파괴할 권리가 있다(3판),,20100730,소설,9000,9,134,1,16,128,1
착! 붙는 일본어 독학 첫걸음(CD1장포함),하루 한 시간 한 달 완성,20151015,외국어,14000,9.5,248,0,16,129,1
해커스 토익스피킹(토스) Start(2주 만에 끝내는)(개정판),신유형 완벽 반영 토스 Level 6 이상 달성 비법서,20150424,외국어,19800,9,550,0,9,130,1
새벽 세시 + 무너지지만 말아 + 새삼스러운 세상 한정판 스페셜 에디션 세트(전3권),,20170424,시/에세이,16500,9.5,264,0,42,131,1
해커스 토익 700+ LC+RC(한 권으로 끝내는),신토익 출제유형 100% 반영,20191227,외국어,19500,9.4,596,0,17,132,1
한국의 젊은 부자들,무일푼에서 100억 원대 회사 만든 61인의 현재 진행형 성공기,20170508,경제/경영,15000,8.8,416,1,10,133,1
빛 혹은 그림자,호퍼의 그림에서 탄생한 빛과 어둠의 이야기,20170911,소설,18000,9.2,440,1,8,134,1
원피스 매거진 Vol. 1,,20170831,만화,13000,8.6,154,0,14,135,1
고운 마음 꽃이 되고 고운 말은 빛이 되고(아우름 22),내일을 밝히는 오늘의 고운 말 연습,20170725,인문,10000,9.4,176,1,23,136,1
사용빈도 1억 영어회화 표현(마유영어),원어민 99%가 매일같이 쓰는 역대 최강 회화 표현 컬렉션,20170520,외국어,13000,8.3,304,1,15,137,1
미움받을 용기. 2,사랑과 진정한 자립에 대한 아들러의 가르침,20160502,인문,14900,9.4,320,0,10,138,1
못 참는 아이 욱하는 부모,,20160515,가정/육아,16800,8.7,344,1,14,139,1
혼자가 좋은데 혼자라서 싫다,혼자라는 그 고독과 처절함 속에서도,20170612,시/에세이,15000,8.5,297,1,15,140,1
Re: 제로부터 시작하는 이세계 생활. 12(노블엔진(Novel Engine)),,20170901,소설,7000,9.8,376,1,24,141,1
여행영어 100일의 기적,해외여행 준비 D-100 프로젝트,20170620,외국어,12000,9.2,272,1,13,142,1
검은 꽃(2판)(김영하 컬렉션),,20100216,소설,11000,9.5,367,0,4,143,1
너의 안부를 묻는 밤(민트 스페셜 에디션),지민석 유귀선 감성 에세이,20170523,시/에세이,13000,9.7,256,1,11,144,1
알사탕(그림책이 참 좋아 39)(양장본 HardCover),,20170325,유아(0~7세),12000,9.2,48,0,3,145,1
